web_scraper_order;web_scraper_start_url;product_link;product_id;naam;categorie_id;categorie;seizoen_id;seizoen;type_id;type;merk;merk_id;maat;maat_id;zak_id;verzendzak;code;commissie;korte_omschrijving_nl;lange_omschrijving;type_nieuw_2dehands;product_niet_weergeven;waarom_niet_weergeven;indekijker;nieuw;staat;prijs;stock;verkocht;online_verkocht;datum_verkocht;uitbetaald;datum_uitbetaald;seo_titel;seo_keywords;seo_description;foto;extra_fotos
1763565448-4209;https://www.ottersenflamingos.be/admin/product;https://www.ottersenflamingos.be/admin/product.edit.php?id=42603;42603.0;Jeansbroek, AO76, 14 jaar - PI;2.0;Jongen;3.0;Zomer & winter;1.0;Broek;American Outfitters / AO76;18.0;164;164;2765.0;20250018.0;KDA097;30.0;Blauwe jaensbroek;"<p>Stevige broek in mooie gedragen staat</p><p>Perfectly imperfect omwille van slijtage label. Algemeen werd deze topper al eens zeer graag gedragen</p><p>98% katoen, 2% spandex</p>";Tweedehands;nee;;nee;nee;4 hartjes;15.0;1.0;nee;nee;0000-00-00;nee;0000-00-00;Jeansbroek AO76;;;https://www.ottersenflamingos.be/foto.php?src=/files/product/foto/kda0971.jpg;../files/product//kda0972.jpg
1763565451-4210;https://www.ottersenflamingos.be/admin/product;https://www.ottersenflamingos.be/admin/product.edit.php?id=42602;42602.0;Jeansbroek, AO76, 14 jaar - PI;2.0;Jongen;3.0;Zomer & winter;1.0;Broek;American Outfitters / AO76;18.0;164;164;2765.0;20250018.0;KDA096;30.0;Blauwe jeansbroek Thomas denim;"<p>In mooie gedragen staat. Deze werd heel graag gedragen.</p><p>Perfectly imperfect omwille van slijtage label.</p><p>98% katoen, 2% spandex</p>";Tweedehands;nee;;nee;ja;4 hartjes;12.5;1.0;nee;nee;0000-00-00;nee;0000-00-00;Jeansbroek AO76;;;https://www.ottersenflamingos.be/foto.php?src=/files/product/foto/kda0961.jpg;../files/product//kda0962.jpg
1763565454-4211;https://www.ottersenflamingos.be/admin/product;https://www.ottersenflamingos.be/admin/product.edit.php?id=42601;42601.0;Short, AO76, 12 jaar - PI;2.0;Jongen;1.0;Zomer;4.0;Short;American Outfitters / AO76;18.0;152;152;2765.0;20250018.0;KDA095;30.0;Korte broek in legerkleur groen;"<p>In mooie gedragen staat. Perfectly imperfect omwille van draagsporen.</p><p>100% katoen</p>";Tweedehands;nee;;nee;nee;4 hartjes;12.5;1.0;nee;nee;0000-00-00;nee;0000-00-00;Short AO76;;;https://www.ottersenflamingos.be/foto.php?src=/files/product/foto/kda0951.jpg;../files/product//kda0952.jpg
1763565457-4212;https://www.ottersenflamingos.be/admin/product;https://www.ottersenflamingos.be/admin/product.edit.php?id=42600;42600.0;Short, AO76, 12 jaar - PI;2.0;Jongen;1.0;Zomer;4.0;Short;American Outfitters / AO76;18.0;152;152;2765.0;20250018.0;KDA094;30.0;Donkerblauwe short met draagsporen;"<p>Een toffe stevige short met draagsporen, daarom perfectly imperfect.</p><p>Dit item is iets donkerder eerder grijsblauw dan hij lijkt op de foto.</p><p>100% katoen</p>";Tweedehands;nee;;nee;nee;4 hartjes;12.5;1.0;nee;nee;0000-00-00;nee;0000-00-00;Short AO76;;;https://www.ottersenflamingos.be/foto.php?src=/files/product/foto/kda0941.jpg;../files/product//kda0942.jpg
1763565460-4213;https://www.ottersenflamingos.be/admin/product;https://www.ottersenflamingos.be/admin/product.edit.php?id=42599;42599.0;Short, AO76, 12 jaar;2.0;Jongen;1.0;Zomer;4.0;Short;American Outfitters / AO76;18.0;152;152;2765.0;20250018.0;KDA093;30.0;Lichtgroene short met hagedissen washed twill;"<p>Short in uitstekende staat</p><p>100% katoen</p>";Tweedehands;nee;;ja;nee;4 hartjes;22.0;1.0;nee;nee;0000-00-00;nee;0000-00-00;Short AO76;;;https://www.ottersenflamingos.be/foto.php?src=/files/product/foto/kda0931.jpg;../files/product//kda0932.jpg
1763556046-1200;https://www.ottersenflamingos.be/admin/product;https://www.ottersenflamingos.be/admin/product.edit.php?id=31745;31745.0;Blauwe sneaker, Superga, 32;4.0;Unisex;3.0;Zomer & winter;16.0;Schoenen;Superga;476.0;32;32;2180.0;20210337.0;SJUT080;30.0;;"<p>In prima staat.</p><p>Buitenzijde: suède - dikke rubberen zool.</p>";Tweedehands;nee;;nee;nee;4 hartjes;12.5;1.0;nee;nee;0000-00-00;nee;0000-00-00;Sneakers Superga;;;https://www.ottersenflamingos.be/foto.php?src=/files/product/foto/naamloos041_9.jpg;
1763556049-1201;https://www.ottersenflamingos.be/admin/product;https://www.ottersenflamingos.be/admin/product.edit.php?id=31735;31735.0;Winterjas, Noppies, 128 - PI;3.0;Meisje;2.0;Winter;7.0;Jas;Noppies;214.0;128;128;2180.0;20210337.0;SJUT072;30.0;turquoise jas;"<p>Mooie gedragen staat</p><p>Perfectly imperfect omwille van krassen op de knoop</p>";Tweedehands;nee;;nee;nee;4 hartjes;10.0;1.0;ja;ja;2025-01-17;ja;2025-04-01;Winterjas Noppies;;;https://www.ottersenflamingos.be/foto.php?src=/files/product/foto/dsc1368.jpg;../files/product//dsc1369.jpg
1763558473-1977;https://www.ottersenflamingos.be/admin/product;https://www.ottersenflamingos.be/admin/product.edit.php?id=39062;39062.0;Broekkousen Condor, 3/4 jaar, schoenmaat 23/26;3.0;Meisje;2.0;Winter;22.0;kousen;Condor;408.0;23/26;23/26;2083.0;20210241.0;OF2090;30.0;;"<p>470/Cobalto</p><p>Geribbelde broekkousen</p>";Tweedehands;nee;;nee;nee;5 hartjes;16.5;1.0;nee;nee;0000-00-00;nee;0000-00-00;Broekkousen Condor;;;https://www.ottersenflamingos.be/foto.php?src=/files/product/foto/fotocobalt.jpg;
1763558476-1978;https://www.ottersenflamingos.be/admin/product;https://www.ottersenflamingos.be/admin/product.edit.php?id=39063;39063.0;Broekkousen Condor, 3/4 jaar, schoenmaat 23/26;3.0;Meisje;2.0;Winter;22.0;kousen;Condor;408.0;23/26;23/26;2083.0;20210241.0;OF2084;30.0;;"<p>221/Aluminio</p><p>Effen broekkousen, nieuw, met label</p>";Tweedehands;nee;;nee;nee;5 hartjes;13.5;1.0;nee;nee;0000-00-00;nee;0000-00-00;Broekkousen Condor;;;https://www.ottersenflamingos.be/foto.php?src=/files/product/foto/fotoaluminio.jpg;
1763558482-1980;https://www.ottersenflamingos.be/admin/product;https://www.ottersenflamingos.be/admin/product.edit.php?id=39061;39061.0;Broekkousen Condor, 3/4 jaar, schoenmaat 23/26;3.0;Meisje;2.0;Winter;22.0;kousen;Condor;408.0;23/26;23/26;2083.0;20210241.0;OF2060;30.0;;"<p>753/Amazonia</p><p>Effen broekkousen</p>";Tweedehands;nee;;ja;nee;5 hartjes;13.5;2.0;nee;nee;0000-00-00;nee;0000-00-00;Broekkousen Condor;;;https://www.ottersenflamingos.be/foto.php?src=/files/product/foto/fotokaki.jpg;
